Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.87      0.77     0.01   760243     0.00     0.00  Minisat::Lit::operator<(Minisat::Lit) const
  0.87      0.78     0.01   757931     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<std::pair<aalta_formula const, int>, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>*, std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**)
  0.87      0.79     0.01   739530     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::size() const
  0.87      0.80     0.01   711476     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false>::_M_incr_bucket()
  0.87      0.81     0.01   711097     0.00     0.00  std::tr1::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  0.87      0.82     0.01   688984     0.00     0.00  std::pair<bool, int>::pair(bool const&, int const&)
  0.87      0.83     0.01   579368     0.00     0.00  Minisat::Solver::VarOrderLt::operator()(int, int) const
  0.87      0.84     0.01   525737     0.00     0.00  aalta_formula::unique()
  0.87      0.85     0.01   515057     0.00     0.00  Minisat::RegionAllocator<unsigned int>::operator[](unsigned int)
  0.87      0.86     0.01   486481     0.00     0.00  void Minisat::readClause<Minisat::StreamBuffer, Minisat::Solver>(Minisat::StreamBuffer&, Minisat::Solver&, Minisat::vec<Minisat::Lit>&)
  0.87      0.87     0.01   455946     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::percolateUp(int)
  0.87      0.88     0.01   428551     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::end()
  0.87      0.89     0.01   413261     0.00     0.00  Minisat::vec<char>::push()
  0.87      0.90     0.01   403058     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<std::tr1::__detail::_Hash_node<aalta_formula*, false>*>::__value, void>::__type std::__fill_a<std::tr1::__detail::_Hash_node<aalta_formula*, false>**, std::tr1::__detail::_Hash_node<aalta_formula*, false>*>(std::tr1::__detail::_Hash_node<aalta_formula*, false>**, std::tr1::__detail::_Hash_node<aalta_formula*, false>**, std::tr1::__detail::_Hash_node<aalta_formula*, false>* const&)
  0.87      0.91     0.01   403057     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_allocate_buckets(unsigned long)
  0.87      0.92     0.01   343214     0.00     0.00  std::tr1::_Hashtable<aalta_formula, std::pair<aalta_formula const, int>, std::allocator<std::pair<aalta_formula const, int> >, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::find(aalta_formula const&)
  0.87      0.93     0.01   343214     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<std::pair<aalta_formula const, int>, false, false>::_Hashtable_iterator(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>*, std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**)
  0.87      0.94     0.01   343214     0.00     0.00  std::tr1::__detail::_Map_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, true, std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true> >::operator[](int const&)
  0.87      0.95     0.01   293000     0.00     0.00  std::tr1::__detail::_Prime_rehash_policy::_Prime_rehash_policy(float)
  0.87      0.96     0.01   283204     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::cleanAll()
  0.87      0.97     0.01   152892     0.00     0.00  bool std::tr1::__detail::operator!=<std::pair<int const, aalta_formula*>, false>(std::tr1::__detail::_Hashtable_iterator_base<std::pair<int const, aalta_formula*>, false> const&, std::tr1::__detail::_Hashtable_iterator_base<std::pair<int const, aalta_formula*>, false> const&)
  0.87      0.98     0.01   143590     0.00     0.00  Minisat::Clause::Clause<Minisat::vec<Minisat::Lit> >(Minisat::vec<Minisat::Lit> const&, bool, bool)
  0.87      0.99     0.01   143590     0.00     0.00  Minisat::Solver::attachClause(unsigned int)
  0.87      1.00     0.01   143006     0.00     0.00  std::allocator<std::pair<int const, aalta_formula*> >::allocator<std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false> >(std::allocator<std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false> > const&)
  0.87      1.01     0.01    99052     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_Hashtable(std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true> const&)
  0.87      1.02     0.01    71503     0.00     0.00  std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket(std::pair<int const, aalta_formula*> const&, unsigned long, unsigned long)
  0.87      1.03     0.01    42427     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::removeMin()
  0.87      1.04     0.01    37248     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::clean(Minisat::Lit const&)
  0.87      1.05     0.01     5824     0.00     0.00  Minisat::vec<char>::clear(bool)
  0.87      1.06     0.01     5570     0.00     0.00  aalta_formula::to_set()
  0.87      1.07     0.01     5533     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>*>::deallocate(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>**, unsigned long)
  0.87      1.08     0.01     4482     0.00     0.00  aalta_formula::to_string() const
  0.87      1.09     0.01     1917     0.00     0.00  Minisat::xrealloc(void*, unsigned long)
  0.87      1.10     0.01     1456     0.00     0.00  Minisat::StreamBuffer::StreamBuffer(gzFile_s*)
  0.87      1.11     0.01     1456     0.00     0.00  std::tr1::_Hashtable<aalta_formula, std::pair<aalta_formula const, int>, std::allocator<std::pair<aalta_formula const, int> >, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**, unsigned long)
  0.87      1.12     0.01      542     0.00     0.00  Minisat::Solver::solve_()
  0.87      1.13     0.01        1     0.01     0.01  aalta_formula::destroy()
  0.43      1.14     0.01  2895482     0.00     0.00  Minisat::sign(Minisat::Lit)
  0.43      1.14     0.01  2076716     0.00     0.00  Minisat::operator~(Minisat::Lit)
  0.43      1.15     0.01  1359323     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.43      1.15     0.01   847835     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false>::_M_incr()
  0.00      1.15     0.00  5923083     0.00     0.00  Minisat::StreamBuffer::assureLookahead()
  0.00      1.15     0.00  4461596     0.00     0.00  Minisat::vec<Minisat::Lit>::size() const
  0.00      1.15     0.00  2875275     0.00     0.00  Minisat::vec<Minisat::lbool>::operator[](int) const
  0.00      1.15     0.00  2836018     0.00     0.00  std::iterator_traits<unsigned long const*>::iterator_category std::__iterator_category<unsigned long const*>(unsigned long const* const&)
  0.00      1.15     0.00  2751084     0.00     0.00  Minisat::lbool::operator==(Minisat::lbool) const
  0.00      1.15     0.00  2665630     0.00     0.00  Minisat::vec<int>::size() const
  0.00      1.15     0.00  2654808     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.15     0.00  2591803     0.00     0.00  Minisat::vec<Minisat::Solver::VarData>::size() const
  0.00      1.15     0.00  2591803     0.00     0.00  Minisat::Solver::nVars() const
  0.00      1.15     0.00  2524930     0.00     0.00  Minisat::lbool::operator^(bool) const
  0.00      1.15     0.00  2524930     0.00     0.00  Minisat::Solver::value(Minisat::Lit) const
  0.00      1.15     0.00  2520905     0.00     0.00  void std::advance<unsigned long const*, long>(unsigned long const*&, long)
  0.00      1.15     0.00  2184207     0.00     0.00  __gnu_cxx::new_allocator<aalta_formula*>::new_allocator()
  0.00      1.15     0.00  2184207     0.00     0.00  __gnu_cxx::new_allocator<aalta_formula*>::~new_allocator()
  0.00      1.15     0.00  2184207     0.00     0.00  std::allocator<aalta_formula*>::~allocator()
  0.00      1.15     0.00  2072854     0.00     0.00  aalta_formula::oper() const
  0.00      1.15     0.00  1893822     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_get_Value_allocator() const
  0.00      1.15     0.00  1718903     0.00     0.00  Minisat::vec<char>::operator[](int)
  0.00      1.15     0.00  1327564     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      1.15     0.00  1230071     0.00     0.00  bool std::tr1::__detail::operator!=<aalta_formula*, false>(std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false> const&, std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false> const&)
  0.00      1.15     0.00  1207292     0.00     0.00  Minisat::vec<Minisat::Lit>::push(Minisat::Lit const&)
  0.00      1.15     0.00  1172914     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      1.15     0.00  1158736     0.00     0.00  Minisat::vec<double>::operator[](int) const
  0.00      1.15     0.00  1036719     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.15     0.00   982674     0.00     0.00  Minisat::lbool::operator!=(Minisat::lbool) const
  0.00      1.15     0.00   947194     0.00     0.00  __gnu_cxx::new_allocator<aalta_formula*>::destroy(aalta_formula**)
  0.00      1.15     0.00   946911     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> >::deallocate(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, unsigned long)
  0.00      1.15     0.00   946911     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> >::allocate(unsigned long, void const*)
  0.00      1.15     0.00   946911     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> >::max_size() const
  0.00      1.15     0.00   946911     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_deallocate_node(std::tr1::__detail::_Hash_node<aalta_formula*, false>*)
  0.00      1.15     0.00   912992     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::inHeap(int) const
  0.00      1.15     0.00   887854     0.00     0.00  Minisat::Clause::operator[](int) const
  0.00      1.15     0.00   883163     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::operator[](Minisat::Lit const&)
  0.00      1.15     0.00   876367     0.00     0.00  Minisat::vec<char>::capacity(int)
  0.00      1.15     0.00   852128     0.00     0.00  aalta_formula::~aalta_formula()
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::capacity(int)
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::clear(bool)
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::vec()
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::~vec()
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::vec<char>::push(char const&)
  0.00      1.15     0.00   826522     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::init(Minisat::Lit const&)
  0.00      1.15     0.00   806116     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false>*>::new_allocator()
  0.00      1.15     0.00   806116     0.00     0.00  __gnu_cxx::new_allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false>*>::~new_allocator()
  0.00      1.15     0.00   806116     0.00     0.00  std::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false>*>::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> >(std::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> > const&)
  0.00      1.15     0.00   806116     0.00     0.00  std::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false>*>::~allocator()
  0.00      1.15     0.00   806116     0.00     0.00  std::_Iter_base<std::tr1::__detail::_Hash_node<aalta_formula*, false>**, false>::_S_base(std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.00      1.15     0.00   806116     0.00     0.00  std::_Niter_base<std::tr1::__detail::_Hash_node<aalta_formula*, false>**>::iterator_type std::__niter_base<std::tr1::__detail::_Hash_node<aalta_formula*, false>**>(std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.00      1.15     0.00   795896     0.00     0.00  aalta_formula::af_prt_hash2::operator()(aalta_formula const*) const
  0.00      1.15     0.00   783598     0.00     0.00  Minisat::vec<Minisat::Lit>::clear(bool)
  0.00      1.15     0.00   760243     0.00     0.00  Minisat::LessThan_default<Minisat::Lit>::operator()(Minisat::Lit, Minisat::Lit)
  0.00      1.15     0.00   749074     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>::operator++()
  0.00      1.15     0.00   740422     0.00     0.00  Minisat::Solver::mkVarData(unsigned int, int)
  0.00      1.15     0.00   738806     0.00     0.00  Minisat::Clause::size() const
  0.00      1.15     0.00   688984     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, int>(std::pair<bool, int> const&)
  0.00      1.15     0.00   688984     0.00     0.00  std::pair<bool, int> std::make_pair<bool, int>(bool, int)
  0.00      1.15     0.00   676732     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula*, aalta_formula*, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_bucket_index(aalta_formula* const&, unsigned long, unsigned long) const
